"","Date","hour","corrPrior","corrPred","coh","mse","mseZero"
"1",1009846800,1,0.943132019525152,-0.118310284662052,1.868,2.30149184,2.79517111583291
"2",1009850400,2,0.936997229009141,0.147471801685334,1.936,1.91526784,2.94131596479863
"3",1009854000,3,0.934415378425132,-0.080776820037421,1.916,1.97301328,2.49302626686719
"4",1009857600,4,0.933166413040114,-0.319325921080582,1.824,2.18426288,2.30191377206586
"5",1009861200,5,0.928795838759682,-0.25933575076927,1.884,2.11692784,2.30974612623025
"6",1009864800,6,0.934072030214328,-0.131962938599423,1.924,2.02347872,2.18890789705222
"7",1009868400,7,0.91071993276424,0.0453923939196881,1.924,1.70373488,2.1268468710043
"8",1009872000,8,0.918220930051176,-0.0613488626736384,1.928,1.70064432,1.89400864182626
"9",1009875600,9,0.910836738125306,0.155058395930427,1.996,1.70059424,2.02184467827152
"10",1009879200,10,0.913898270831389,0.0292632208797765,2.056,1.79339504,1.88555498034008
"11",1009882800,11,0.919695730305282,-0.0859379492303598,2.112,2.19046128,2.088416006388
"12",1009886400,12,0.910903874007651,0.0242856519685111,2.116,2.93900208,2.93459908453175
"13",1009890000,13,0.881196233875629,-0.165138157464109,2.088,3.08331152,2.80483512097701
"14",1009893600,14,0.841286495866382,-0.00613989069223619,2.056,2.69672832,2.7597417407647
"15",1009897200,15,0.851052649986033,0.400429845814882,2.168,2.58593536,2.730816006388
"16",1009900800,16,0.874549458472283,0.283312817857397,2.052,2.67736864,2.93543363142892
"17",1009904400,17,0.861426246402246,0.354376141016763,2.112,2.63736128,3.17416524081927
"18",1009908000,18,0.876969804054014,0.295503804159549,2.092,3.04290656,3.32565862103158
"19",1009911600,19,0.867054878227157,0.436810868350342,1.924,3.5096376,3.96523214188083
"20",1009915200,20,0.852388189162586,0.242554384264044,1.756,4.36031024,4.34627992835337
"21",1009918800,21,0.84331703120074,0.397954248494397,1.632,4.76893776,4.64981153774372
"22",1009922400,22,0.868334108501021,0.378290881075838,1.456,4.35662128,4.61915638670944
"23",1009926000,23,0.859888319527158,-0.4663220681876,1.432,5.20719104,4.61751447525054
"24",1009929600,24,0.89784930873359,-0.0885788018054011,1.42,4.41494192,4.53364389190811
"25",1009933200,1,0.911530660739315,0.184910759742746,1.448,3.98158912,4.44905713148349
"26",1009936800,2,0.92841887234536,-0.0491438556893307,1.5,4.4313584,4.38611228251777
"27",1009940400,3,0.930650934417694,0.0943431460943846,1.396,3.96744,4.23933876166852
"28",1009944000,4,0.932152847621863,0.0587904760947978,1.328,4.0315136,4.23862626686719
"29",1009947600,5,0.919545898748229,0.328768546860955,1.344,3.77358912,4.24346817832609
"30",1009951200,6,0.927516297699386,0.0668788490974619,1.28,4.4519464,4.40451596479863
"31",1009954800,7,0.934019423257574,0.258164814582983,1.236,4.44434448,4.51171228251777
"32",1009958400,8,0.938821111755238,-0.113697607125973,1.156,4.21799216,4.77191815753141
"33",1009962000,9,0.936821653793115,0.430108398709943,1.208,4.21601888,4.764466688778
"34",1009965600,10,0.946903954314473,-0.00834298184332784,1.152,4.47096192,4.62917918357933
"35",1009969200,11,0.941065022386049,0.155257305485078,1.196,4.16982816,4.69604389190811
"36",1009972800,12,0.922162868987556,0.313728309890051,1.328,3.31051568,4.40565125646985
"37",1009976400,13,0.930252813912639,0.24719407685944,1.268,3.55096976,3.66427554288782
"38",1009980000,14,0.932676628039881,0.466278935736565,1.24,3.5469024,3.7781306939221
"39",1009983600,15,0.961457040332383,0.604351342022153,1.228,3.13372624,3.78171157933308
"40",1009987200,16,0.945849474265145,0.740575063321093,1.26,2.33733568,3.95708658973042
"41",1009990800,17,0.94339270603181,0.695134600285215,1.352,2.36223664,3.51532999073742
"42",1009994400,18,0.917823735361393,0.576851042208242,1.38,2.58487984,3.47576015216904
"43",1009998000,19,0.925409664546678,0.755291396729683,1.492,1.61354304,3.17471604797736
"44",1010001600,20,0.901187203863575,0.749773069710701,1.592,1.36435408,2.47897856357337
"45",1010005200,21,0.893584293727685,0.692494518438303,1.7,1.70925072,2.1164601937584
"46",1010008800,22,0.90523576038981,0.563647132795043,1.68,1.93687728,1.85646755832013
"47",1010012400,23,0.906250761268019,-0.0846385884087526,1.676,2.56600864,1.85154182394343
"48",1010016000,24,0.909996861757864,0.408150032888386,1.62,1.87774048,1.85886755832013
"49",1010019600,1,0.913308044849363,0.190502847252374,1.564,1.86147216,1.91141240728585
"50",1010023200,2,0.892910081553115,-0.0344459070426087,1.512,2.29423248,2.1724601937584
"51",1010026800,3,0.897241475972477,0.264511124272268,1.456,2.45688144,2.67796900627886
"52",1010030400,4,0.897834907038616,-0.0120616779729215,1.452,2.99203664,2.84158443858701
"53",1010034000,5,0.897136673682782,0.391743244114187,1.456,2.54672048,2.89774840214175
"54",1010037600,6,0.910815834746081,0.372706313152841,1.524,2.55184176,2.89774840214175
"55",1010041200,7,0.890227460148713,0.00567692351016665,1.584,3.02372528,2.80225502192944
"56",1010044800,8,0.903902298466517,0.0258782390989019,1.68,3.0520688,2.77737119901164
"57",1010048400,9,0.912004996616505,-0.184731288173645,1.664,3.06052496,2.75732928755273
"58",1010052000,10,0.924247854787293,-0.254673830843421,1.596,3.8608912,3.41428956882661
